"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"K4,K1,K5,K6,K2,K3";"Relay_SPDT_SANYOU_SRD_Series_Form_C";6;"SANYOU_SRD_Form_C";;;
2;"Q2,Q6,Q3,Q4,Q5,Q1";"TO-252-2";6;"Q_NMOS_GDS";;;
3;"SP 5/6,AC-NARUAL,SP 3/4,SP 1/2";"JWT_A3963_1x02_P3.96mm_Vertical";4;"JWT_A3963_1x02_P3.96mm_Vertical";;;
4;"D3,D2,D1";"LED_0402_1005Metric";3;"LED";;;
5;"C4,C2";"C_0402_1005Metric";2;"100nF";;;
6;"AC24V";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"Conn_Coaxial_Power";;;
7;"C1,C3";"C_0402_1005Metric";2;"10uF";;;
8;"U2";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
9;"U1";"TO-263-5_TabPin3";1;"LM2596S-5";;;
10;"C6,C5";"CP_Radial_D8.0mm_P3.50mm";2;"C_Polarized";;;
11;"R3,R1,R2,R6,R5,R4";"R_1206_3216Metric";6;"1K";;;
12;"U3";"SOT-223-3_TabPin2";1;"AP1117-33";;;
13;"R8,R7,R9";"R_1206_3216Metric";3;"130";;;
14;"DC OUT";"PinHeader_1x03_P2.54mm_Vertical";1;"PinHeader_1x03_P2.54mm_Vertical";;;
15;"D4";"D_SMA";1;"US1A";;;
16;"EXT/PROG";"PinHeader_2x03_P1.27mm_Vertical";1;"PinHeader_2x03_P1.27mm_Vertical";;;
17;"D5";"D_SMA";1;"B140-E3";;;
18;"L1";"L_1008_2520Metric";1;"L";;;
